Filename,Speech
speech-us-gov-0044_124.16kHz.wav,1
speech-librivox-0107_054.16kHz.wav,1
speech-librivox-0095_064.16kHz.wav,1
speech-us-gov-0113_010.16kHz.wav,1
speech-librivox-0055_032.16kHz.wav,1
speech-us-gov-0111_021.16kHz.wav,1
speech-us-gov-0238_001.16kHz.wav,1
speech-librivox-0016_048.16kHz.wav,1
speech-us-gov-0011_001.16kHz.wav,1
speech-librivox-0041_109.16kHz.wav,1
speech-us-gov-0169_049.16kHz.wav,1
speech-us-gov-0249_012.16kHz.wav,1
speech-librivox-0098_018.16kHz.wav,1
speech-us-gov-0012_148.16kHz.wav,1
speech-us-gov-0128_149.16kHz.wav,1
speech-us-gov-0048_006.16kHz.wav,1
speech-us-gov-0102_023.16kHz.wav,1
speech-librivox-0113_094.16kHz.wav,1
speech-librivox-0170_061.16kHz.wav,1
speech-us-gov-0240_011.16kHz.wav,1
speech-us-gov-0242_064.16kHz.wav,1
speech-librivox-0080_140.16kHz.wav,1
speech-us-gov-0089_003.16kHz.wav,1
speech-us-gov-0123_142.16kHz.wav,1
speech-us-gov-0048_064.16kHz.wav,1
speech-us-gov-0248_128.16kHz.wav,1
speech-us-gov-0123_003.16kHz.wav,1
speech-librivox-0155_061.16kHz.wav,1
speech-us-gov-0225_058.16kHz.wav,1
speech-us-gov-0203_101.16kHz.wav,1
speech-us-gov-0168_100.16kHz.wav,1
speech-librivox-0080_071.16kHz.wav,1
speech-librivox-0142_012.16kHz.wav,1
speech-us-gov-0242_019.16kHz.wav,1
speech-us-gov-0022_076.16kHz.wav,1
speech-us-gov-0245_114.16kHz.wav,1
speech-us-gov-0065_025.16kHz.wav,1
speech-us-gov-0066_097.16kHz.wav,1
speech-librivox-0022_001.16kHz.wav,1
speech-us-gov-0107_041.16kHz.wav,1
speech-us-gov-0160_077.16kHz.wav,1
speech-us-gov-0078_053.16kHz.wav,1
speech-us-gov-0125_121.16kHz.wav,1
speech-us-gov-0150_038.16kHz.wav,1
speech-us-gov-0184_127.16kHz.wav,1
speech-us-gov-0042_050.16kHz.wav,1
speech-us-gov-0097_119.16kHz.wav,1
speech-librivox-0064_143.16kHz.wav,1
speech-us-gov-0186_001.16kHz.wav,1
speech-us-gov-0086_012.16kHz.wav,1
speech-us-gov-0122_023.16kHz.wav,1
speech-librivox-0029_022.16kHz.wav,1
speech-us-gov-0169_076.16kHz.wav,1
speech-us-gov-0125_095.16kHz.wav,1
speech-us-gov-0120_123.16kHz.wav,1
speech-librivox-0048_170.16kHz.wav,1
speech-us-gov-0087_107.16kHz.wav,1
speech-us-gov-0006_077.16kHz.wav,1
speech-us-gov-0203_052.16kHz.wav,1
speech-us-gov-0023_030.16kHz.wav,1
speech-us-gov-0203_063.16kHz.wav,1
speech-us-gov-0179_117.16kHz.wav,1
speech-us-gov-0177_000.16kHz.wav,1
speech-us-gov-0153_087.16kHz.wav,1
speech-us-gov-0137_083.16kHz.wav,1
speech-librivox-0040_019.16kHz.wav,1
speech-librivox-0001_015.16kHz.wav,1
speech-us-gov-0150_081.16kHz.wav,1
speech-us-gov-0031_141.16kHz.wav,1
speech-librivox-0170_138.16kHz.wav,1
speech-us-gov-0019_086.16kHz.wav,1
speech-us-gov-0115_042.16kHz.wav,1
speech-us-gov-0175_133.16kHz.wav,1
speech-librivox-0064_025.16kHz.wav,1
speech-us-gov-0091_024.16kHz.wav,1
speech-librivox-0048_100.16kHz.wav,1
speech-us-gov-0023_005.16kHz.wav,1
speech-us-gov-0198_054.16kHz.wav,1
speech-librivox-0102_000.16kHz.wav,1
speech-us-gov-0212_042.16kHz.wav,1
speech-us-gov-0047_121.16kHz.wav,1
speech-librivox-0070_127.16kHz.wav,1
speech-us-gov-0196_050.16kHz.wav,1
speech-us-gov-0029_106.16kHz.wav,1
speech-librivox-0026_019.16kHz.wav,1
speech-librivox-0170_083.16kHz.wav,1
speech-librivox-0032_022.16kHz.wav,1
speech-us-gov-0048_122.16kHz.wav,1
speech-librivox-0016_011.16kHz.wav,1
speech-us-gov-0072_055.16kHz.wav,1
speech-librivox-0150_165.16kHz.wav,1
speech-us-gov-0040_124.16kHz.wav,1
speech-librivox-0081_014.16kHz.wav,1
speech-librivox-0024_055.16kHz.wav,1
speech-us-gov-0101_093.16kHz.wav,1
speech-us-gov-0158_023.16kHz.wav,1
speech-us-gov-0190_009.16kHz.wav,1
speech-librivox-0029_004.16kHz.wav,1
speech-us-gov-0221_037.16kHz.wav,1
speech-us-gov-0129_028.16kHz.wav,1
speech-us-gov-0230_079.16kHz.wav,1
speech-us-gov-0040_136.16kHz.wav,1
speech-us-gov-0036_091.16kHz.wav,1
speech-us-gov-0225_010.16kHz.wav,1
speech-librivox-0038_056.16kHz.wav,1
speech-us-gov-0097_085.16kHz.wav,1
speech-librivox-0136_145.16kHz.wav,1
speech-us-gov-0070_075.16kHz.wav,1
speech-us-gov-0077_036.16kHz.wav,1
speech-us-gov-0087_005.16kHz.wav,1
speech-librivox-0030_105.16kHz.wav,1
speech-us-gov-0091_049.16kHz.wav,1
speech-librivox-0012_150.16kHz.wav,1
speech-librivox-0137_058.16kHz.wav,1
speech-librivox-0014_172.16kHz.wav,1
speech-librivox-0030_062.16kHz.wav,1
speech-us-gov-0213_100.16kHz.wav,1
speech-us-gov-0250_019.16kHz.wav,1
speech-librivox-0083_102.16kHz.wav,1
speech-us-gov-0103_023.16kHz.wav,1
speech-librivox-0092_003.16kHz.wav,1
speech-us-gov-0011_104.16kHz.wav,1
speech-us-gov-0083_064.16kHz.wav,1
speech-librivox-0048_040.16kHz.wav,1
speech-librivox-0075_060.16kHz.wav,1
speech-us-gov-0063_079.16kHz.wav,1
speech-us-gov-0138_019.16kHz.wav,1
speech-librivox-0059_044.16kHz.wav,1
speech-us-gov-0203_125.16kHz.wav,1
speech-us-gov-0063_100.16kHz.wav,1
speech-us-gov-0169_090.16kHz.wav,1
speech-us-gov-0217_138.16kHz.wav,1
speech-librivox-0120_159.16kHz.wav,1
speech-librivox-0022_016.16kHz.wav,1
speech-us-gov-0014_072.16kHz.wav,1
speech-us-gov-0187_149.16kHz.wav,1
speech-us-gov-0055_069.16kHz.wav,1
speech-us-gov-0060_075.16kHz.wav,1
speech-us-gov-0041_004.16kHz.wav,1
speech-us-gov-0045_114.16kHz.wav,1
speech-us-gov-0244_064.16kHz.wav,1
speech-librivox-0156_088.16kHz.wav,1
speech-us-gov-0162_045.16kHz.wav,1
speech-librivox-0162_109.16kHz.wav,1
speech-us-gov-0113_059.16kHz.wav,1
speech-us-gov-0208_141.16kHz.wav,1
speech-us-gov-0002_031.16kHz.wav,1
speech-us-gov-0052_011.16kHz.wav,1
speech-us-gov-0110_079.16kHz.wav,1
speech-us-gov-0150_144.16kHz.wav,1
speech-us-gov-0089_149.16kHz.wav,1
speech-us-gov-0203_085.16kHz.wav,1
speech-librivox-0024_053.16kHz.wav,1
speech-us-gov-0196_033.16kHz.wav,1
speech-us-gov-0093_149.16kHz.wav,1
speech-librivox-0071_019.16kHz.wav,1
speech-us-gov-0231_042.16kHz.wav,1
speech-us-gov-0192_142.16kHz.wav,1
speech-librivox-0020_072.16kHz.wav,1
speech-us-gov-0036_118.16kHz.wav,1
speech-librivox-0011_068.16kHz.wav,1
